Adsorbate	old_hf	hf_CBH1	hrxn_CBH1	hf_CBH2	hrxn_CBH2	hf_CBH3	hrxn_CBH3
^*OOH	-122.0	66.6654	34.7346				
^*OCH_3	-158.1	-176.6766645	21.7766645				
^*C^*C	213.2	287.9841135	-25.96411349	288.0	-245.2		
^*CCH_2	-15.1	28.50303999	109.60696				
^*CCH_3	-86.2	-151.3968795	42.9068795				
^*CH^*CH	7.2	73.80033849	62.31966151	73.8	22.1		
^*CH_2^*CH_2	-66.0	-95.24864051	37.36864051	-95.3	17.0		
^*COH	-245.9	-319.799729	66.70972901				
^*CH_2^*CH	-20.2	-0.4870925054	39.60709251	-0.5	9.3		
^*CH_2CH_3	-79.9	-94.978816	10.188816				
H_2^*COH	-238.0	-261.191456	31.80145601				
^*CH^*C	127.4	154.5513775	10.46862251	154.6	-116.9		
^*CHCH_3	-40.4	-7.897474	20.107474				
H^*CO	-225.3	-240.1263315	103.0363315				
H^*C^*O	-196.5	-184.3722045	153.3822045	-184.4	75.0		
H^*COH	-213.7	-188.949507	56.55950701				
H_2^*C^*O	-170.3	-205.293782	77.303782				
^*CCHCH_2	23.1	-79.9415575	65.5615575	-79.9	-35.0		
^*CHCHCH_2	18.5	18.9914265	87.3285735	19.0	9.6		
^*CHCHCH_3	-30.3	-74.216713	83.536713	-74.2	8.2		
^*CH_2CH_2CH_3	-86.8	-132.114085	15.534085	-132.1	-4.7		
CH_2^*CCH_3	-39.0	-82.051295	91.371295				
CH_3^*CHCH_3	-91.3	-136.513801	19.933801				
^*CH_2^*CH^*CH_2	-46.1	-128.5338245	65.77382451	-128.5	25.5	-128.5	-31.6
^*COOH	-441.7	-503.960687	190.480687				
CH_3^*CO	-258.9	-312.758432	143.878432				
^*CHCO	-178.4	-230.1609	187.1809	-230.2	60.2		
H_2C^*O_2CH_3	-352.4	-423.555064	106.365064	-423.6	29.2	-423.6	11.5
H_2C^*O^*O	-271.5	-346.0289945	116.1389945	-346.0	34.2	-346.0	17.5
^*OCH_2CH_3	-186.8	-236.032429	49.342429	-236.0	38.2		
CO_2^{phys}	-434.8	-476.7883955	228.6983955				
HCOO^*	-370.3	-399.2033425	160.2133425	-399.2	24.5		
CH_2CO^{phys}	-145.9	-179.1206685	109.2306685				
CH_3CHCH_2^{phys}	-50.8	-75.2397875	57.6497875				
CH_3CH_2CH_3^{phys}	-126.5	-153.5533855	10.06338549				
HCOOH^{phys}	-409.3	-454.3098395	113.9198395				
HCO_2CH_3^{phys}	-401.7	-456.911393	130.621393	-456.9	-0.3		
OC^*O^*O	-510.0	-609.378476	295.398476	-609.4	69.3		
HC^*O_3	-629.8	-715.4965925	300.1165925	-715.5	95.8		
^*CCCH_2	147.1	146.7246415	85.49535851	146.7	-19.8		
^*C^*CCH_2	164.2	42.33421649	-29.80421649	42.3	-164.1		
^*CCH_2CH_3	-86.8	-191.359159	51.079159	-191.4	-1.9		
^*CCH_2OH	-205.3	-318.437483	33.557483	-318.4	1.3		
^*CCHO	-149.8	-260.9782165	68.3982165	-261.0	-25.8		
^*CCO	-115.7	-124.8921355	178.9121355	-124.9	-39.9		
CH_3CH_2^*CO	-258.5	-329.245911	128.575911	-329.2	-25.4		
CH_3CH_2OH^{phys}	-240.9	-277.438056	-10.651944				
CH_3^*CHOH	-263.6	-318.2701745	57.0901745				
CH_3^*COH	-256.8	-267.8917265	103.7117265				
^*CHCCH_2	117.6	73.4020605	61.8179395	73.4	48.4		
^*CHCH_2CH_3	-31.5	-32.238832	12.658832	-32.2	-17.5		
CH_3^*CCH_3	-45.8	-48.8053065	29.2253065				
CH_3CHO^{phys}	-211.8	-247.1296685	51.3396685				
CH_2CCH_2^{phys}	103.2	112.5842855	-4.274285495				
^*CHCH_2	29.2	23.395354	17.714646				
CH_3^*CH^*CH_2	-110.0	-148.33288	58.66288001	-148.3	28.5		
CH_3OCH_3^{phys}	-247.3	-259.1910085	16.9910085				
H_2CO_2H_2^{phys}	-442.4	-471.110327	38.42032701				
OCO_2H_2^{phys}	-661.6	-699.348917	182.568917				
CH_3OCH_2OH^{phys}	-452.9	-483.3989745	64.80897451	-483.4	9.4		
^*OCH_2OH	-362.4	-399.813647	68.52364701	-399.8	8.3		
