Adsorbate	old_hf	hf_CBH1	hrxn_CBH1	hf_CBH2	hrxn_CBH2	hf_CBH3	hrxn_CBH3
^*OCH_3	-147.5	-163.2	21.8				
^*C^*C	210.4	303.2	-26.0	303.2	-245.2		
^*CCH_2	-10.2	40.0	109.6				
^*CCH_3	-79.4	-129.5	42.9				
^*CH^*CH	12.8	96.9	62.3	96.9	22.1		
^*CH_2^*CH_2	-54.1	-65.6	37.4	-65.6	17.0		
^*COH	-242.7	-301.9	66.7				
^*CH_2^*CH	-10.4	25.9	39.6	25.9	9.3		
^*CH_2CH_3	-66.0	-72.3	10.2				
H_2^*COH	-227.1	-242.5	31.8				
^*CH^*C	128.0	173.0	10.5	173.1	-116.9		
^*CHCH_3	-30.0	11.5	20.1				
H^*CO	-222.9	-228.4	103.0				
H^*C^*O	-194.1	-167.2	153.4	-167.2	75.0		
H^*COH	-206.0	-173.6	56.6				
H_2^*C^*O	-163.9	-184.8	77.3				
^*CCHCH_2	29.9	-49.1	65.6	-49.0	-35.0		
^*CHCHCH_2	30.4	47.4	87.3	47.4	9.6		
^*CHCHCH_3	-16.1	-42.5	83.5	-42.5	8.2		
^*CH_2CH_2CH_3	-66.1	-92.5	15.5	-92.6	-4.7		
CH_2^*CCH_3	-23.9	-50.4	91.4				
CH_3^*CHCH_3	-70.5	-96.9	19.9				
^*CH_2^*CH^*CH_2	-31.5	-75.0	65.8	-75.0	25.5	-75.1	-31.6
^*COOH	-435.8	-479.4	190.5				
CH_3^*CO	-249.7	-284.2	143.9				
^*CHCO	-175.0	-209.5	187.2	-209.4	60.2		
H_2C^*O_2CH_3	-334.8	-388.0	106.4	-388.0	29.2	-388.0	11.5
H_2C^*O^*O	-263.0	-317.8	116.1	-317.9	34.2	-317.8	17.5
^*OCH_2CH_3	-169.8	-205.6	49.3	-205.7	38.2		
CO_2^*	-467.9	-466.2	228.7				
HCOO^*	-366.2	-379.8	160.2	-379.8	24.5		
CH_2CO^*	-140.5	-165.4	109.2				
CH_3CHCH_2^*	-33.6	-50.5	57.6				
CH_3CH_2CH_3^*	-104.1	-121.0	10.1				
HCOOH^*	-402.6	-436.7	113.9				
HCO_2CH_3^*	-387.9	-430.1	130.6	-430.1	-0.3		
OC^*O^*O	-548.6	-575.3	295.4	-575.4	69.3		
HC^*O_3	-662.0	-683.2	300.1	-683.3	95.8		
^*CCCH_2	150.2	167.2	85.5	167.2	-19.8		
^*C^*CCH_2	168.7	80.2	-29.8	80.2	-164.1		
^*CCH_2CH_3	-73.7	-152.6	51.1	-152.6	-1.9		
^*CCH_2OH	-195.6	-283.7	33.6	-257.6	1.3		
^*CCHO	-146.3	-233.2	68.4	-233.2	-25.8		
^*CCO	-116.5	-107.5	178.9	-107.5	-39.9		
CH_3CH_2^*CO	-242.1	-283.8	128.6	-283.8	-25.4		
CH_3CH_2OH^*	-222.8	-248.8	-10.7				
CH_3^*CHOH	-247.1	-282.7	57.1				
CH_3^*COH	-243.5	-235.6	103.7				
^*CHCCH_2	123.7	97.2	61.8	97.2	48.4		
^*CHCH_2CH_3	-13.0	4.0	12.7	4.0	-17.5		
CH_3^*CCH_3	-29.5	-12.5	29.2				
CH_3CHO^*	-200.6	-225.5	51.3				
CH_2CCH_2^*	111.72	129.4	-4.3				
^*CHCH_2	35.8	38.2	17.7				
CH_3^*CH^*CH_2	-91.7	-101.8	58.7	-101.7	28.5		
CH_3OCH_3^*	-228.6	-238.3	17.0				
H_2CO_2H_2^*	-428.6	-446.5	38.4				
OCO_2H_2^*	-653.1	-668.9	182.6				
CH_3OCH_2OH^*	-432.2	-449.6	64.8	-449.6	9.4		
^*OCH_2OH	-350.1	-373.4	68.5	-373.4	8.3		
